,Investigation,Date,Location,Country,Damage,Make,Model,EnginesNo,EngineType,Carrier,Weather,Phase,GeoPoint,Make_Model
8,Incident,2015-08-17,Page_AZ,US,Minor,Quest,KODIAC_100,1,Turbo_Prop,Arrow_west_aviation_(dba:_redtail_aviation),VMC,Takeoff,"37.024445, 111.630834",Quest_KODIAC_100
820,Accident,2016-08-27,Pascagoula_FL,US,Substantial,Boeing,737,2,Turbo_Fan,Southwest_Airlines,VMC,Other,Missing,Boeing_737
1013,Accident,2017-04-28,Amarillo_TX,US,Destroyed,Pilatus_aircraft_ltd,PC_12,1,Turbo_Prop,Rico_aviation_llc,IMC,Takeoff,"35.196389, -101.704722",Pilatus_aircraft_ltd_PC_12
1342,Accident,2018-06-15,Kotzebue_AK,US,Substantial,Cessna,180K,1,Reciprocating,Airframe_innovations_inc,VMC,Takeoff,"66.135, -160.2575",Cessna_180K
1376,Accident,2013-08-14,Birmingham_AL,US,Destroyed,Airbus,A300___F4_622R,2,Turbo_Fan,United_Airlines,UNK,Approach,"33.563889, -86.802222",Airbus_A300___F4_622R
1388,Accident,2013-06-14,Salmon_ID,US,Substantial,Cessna,T210N,1,Reciprocating,Scott_patrick_(dba:_sp_aircraft),VMC,Landing,"44.967778, -114.732778",Cessna_T210N
1503,Accident,2014-11-18,Chicago_IL,US,Substantial,Aero_commander,500_B,2,Reciprocating,Central_airlines_inc._(dba:_central_air_southwest),VMC,Other,"41.774445, 87.738055",Aero_commander_500_B
1504,Accident,2014-08-27,LasCruces_NM,US,Destroyed,Cessna,421C,2,Reciprocating,Amigos_aviation_inc_(dba:_amigos_aviation_inc),VMC,Standing,"32.255833, -106.982223",Cessna_421C
1787,Accident,2017-09-16,Sedona_AZ,US,Substantial,Cessna,208,2,Turbo_Prop,Westwind_aviation_inc,VMC,Taxi,"34.849166, -111.790555",Cessna_208
1789,Accident,2017-07-03,ElPaso_TX,US,Substantial,Beech,A36,1,Reciprocating,"Gta_air,_inc.",VMC,Climb,"31.812222, -106.382778",Beech_A36
2853,Accident,2016-09-25,DeltaJunction_AK,US,Substantial,Helio,H_295,1,Reciprocating,Wright_air_service_(dba:_wright_air_service),VMC,Takeoff,"63.788889, -146.798611",Helio_H_295
2863,Accident,2016-01-02,AnaktuvukPass_AK,US,Substantial,Cessna,208,1,Turbo_Prop,Wright_air_service_inc,VMC,Cruise,"68.078334, -151.896389",Cessna_208
2955,Accident,2015-07-17,Juneau_AK,US,Substantial,Cessna,207,1,Reciprocating,"Sea_port_airlines,_inc_(dba:_wings_of_alaska)",VMC,Other,"58.336111, -135.186111",Cessna_207
2966,Accident,2015-02-24,Baltimore_MD,US,Substantial,Cessna,208,1,Turbo_Prop,Mountain_air_cargo_inc,VMC,Taxi,"39.178889, -76.674167",Cessna_208
2982,Accident,2017-05-24,Augusta_GA,US,Substantial,Beech,58,2,Reciprocating,Gerlach_and_associates_llc_(dba:_midwest_airlink),IMC,Landing,"33.381111, -81.970556",Beech_58
3138,Accident,2015-06-30,SaltLakeCity_UT,US,Substantial,Beech,C_99,2,Turbo_Prop,Ameriflight_Airlines,VMC,Takeoff,"40.786389, -111.973334",Beech_C_99
3139,Accident,2015-06-27,Anchorage_AK,US,Substantial,Cessna,U206G,1,Reciprocating,Lake_and_pen_air_(dba:_lake_and_pen_air),VMC,Landing,"61.215278, -149.838889",Cessna_U206G
3144,Accident,2016-09-25,DeltaJunction_AK,US,Substantial,Helio,H_295,1,Reciprocating,Wright_air_service_(dba:_wright_air_service),VMC,Takeoff,"63.788889, -146.798611",Helio_H_295
3167,Accident,2016-04-08,Angoon_AK,US,Substantial,Cessna,206,1,Reciprocating,Sunrise_aviation,VMC,Cruise,"57.277778, -134.242777",Cessna_206
3368,Accident,2010-09-03,Tuluksak_AK,US,Substantial,Cessna,207,1,Reciprocating,Grant_aviation_inc_(dba:_grant_aviation),VMC,Takeoff,"61.096666, -160.968334",Cessna_207
3453,Accident,2014-11-18,Chicago_IL,US,Substantial,Aero_commander,500_B,2,Reciprocating,Central_airlines_inc._(dba:_central_air_southwest),VMC,Other,"41.774445, 87.738055",Aero_commander_500_B
3455,Accident,2014-06-09,Chitina_AK,US,Substantial,Cessna,U206C,1,Reciprocating,Copper_valley_air_service,VMC,Other,"61.515556, -144.440277",Cessna_U206C
3471,Accident,2018-02-26,MackinacIsland_MI,US,Substantial,Piper,PA_28,1,Reciprocating,Great_Lakes,VMC,Landing,"45.876111, -84.636944",Piper_PA_28
3476,Accident,2017-05-24,Augusta_GA,US,Substantial,Beech,58,2,Reciprocating,Gerlach_and_associates_llc_(dba:_midwest_airlink),IMC,Landing,"33.381111, -81.970556",Beech_58
3739,Incident,2016-07-07,RapidCity_SD,US,Missing,Airbus,A320,2,Turbo_Fan,Delta_Airlines,VMC,Landing,"44.1475, -103.106667",Airbus_A320
3810,Incident,2016-10-27,NewYork_NY,US,Minor,Boeing,737,2,Turbo_Fan,"Eastern_airlines_group,_inc.,",IMC,Landing,"40.769167, -73.885",Boeing_737
3824,Accident,2015-02-24,St.Louis_MO,US,Missing,Mcdonnell,MD_11F,3,Turbo_Fan,Fedex_express,VMC,Standing,Missing,Mcdonnell_MD_11F
3870,Accident,2014-08-09,SanAntonio_TX,US,Substantial,Bombardier,CL600_2D24___900,2,Turbo_Fan,Mesa_Airlines,VMC,Taxi,"29.526945, -98.471945",Bombardier_CL600_2D24___900
3871,Accident,2013-03-07,Atlanta_GA,US,Substantial,Boeing,757,2,Turbo_Fan,Delta_Airlines,VMC,Landing,"33.636666, -84.427778",Boeing_757
3877,Accident,2016-04-08,Angoon_AK,US,Substantial,Cessna,206,1,Reciprocating,Sunrise_aviation,VMC,Cruise,"57.277778, -134.242777",Cessna_206
3887,Accident,2015-11-02,Chicago_IL,US,Substantial,Cessna,208,1,Turbo_Prop,Multi_aero_inc,VMC,Taxi,Missing,Cessna_208
3994,Accident,2014-08-09,SanAntonio_TX,US,Substantial,Bombardier,CL600_2D24___900,2,Turbo_Fan,Mesa_Airlines,VMC,Taxi,"29.526945, -98.471945",Bombardier_CL600_2D24___900
4120,Accident,2015-10-01,Nassau_Bahamas,Bahamas,Missing,Airbus,A319,2,Turbo_Fan,American_Airlines,IMC,Other,"25.760278, -76.157222",Airbus_A319
4129,Accident,2014-12-11,SanJose_CA,US,Missing,Boeing,737,2,Turbo_Fan,Southwest_Airlines,IMC,Descent,"37.362778, -121.929167",Boeing_737
4135,Accident,2014-10-05,Jamaica_NY,US,Substantial,Embraer,EMB_145,2,Turbo_Fan,Chautauqua_airlines_inc_(dba:_delta_connection),VMC,Taxi,"40.64, -73.778611",Embraer_EMB_145
4147,Accident,2014-07-25,BoulderCity_NV,US,Minor,Dehavilland,DHC_6_300,2,Turbo_Prop,Grand_canyon_airlines,VMC,Taxi,"35.9475, -114.855",Dehavilland_DHC_6_300
4163,Accident,2014-03-17,Seattle_PO,US,Missing,Airbus,A330,2,Turbo_Fan,Delta_Airlines,VMC,Other,"0.0, 0.0",Airbus_A330
4166,Accident,2014-02-05,Memphis_TN,US,Substantial,Embraer,EMB_145,2,Turbo_Jet,"Trans_states_airlines,_llc_(dba:_trans_states_airlines)",IMC,Landing,"35.2, -90.056667",Embraer_EMB_145
4195,Incident,2015-08-17,Page_AZ,US,Minor,Quest,KODIAC_100,1,Turbo_Prop,Arrow_west_aviation_(dba:_redtail_aviation),VMC,Takeoff,"36.926111, -111.448333",Quest_KODIAC_100
4296,Incident,2012-11-09,Minneapolis_MN,US,Minor,Fairchild,SA227_AC,2,Turbo_Prop,Bemidji_Aviation,VMC,Landing,"44.875834, -93.219723",Fairchild_SA227_AC
4384,Incident,2015-08-17,Page_AZ,US,Minor,Quest,KODIAC_100,1,Turbo_Prop,Arrow_west_aviation_(dba:_redtail_aviation),VMC,Takeoff,"36.926111, -111.448333",Quest_KODIAC_100
4387,Accident,2017-03-22,Ketchikan_AK,US,Substantial,Dehavilland,DHC_2,1,Reciprocating,Pacific_airways,VMC,Takeoff,"55.344444, -131.663333",Dehavilland_DHC_2
4453,Accident,2017-09-16,Sedona_AZ,US,Substantial,Cessna,208,2,Turbo_Prop,Westwind_aviation_inc,VMC,Taxi,"34.849166, -111.790555",Cessna_208
4456,Accident,2017-12-14,Kwigillingok_AK,US,Substantial,Piper,PA-32,1,Reciprocating,Paklook_air_(dba:_yute_commuter_service),VMC,Other,"59.875556, -163.168056",Piper_PA-32
4466,Accident,2016-08-01,SpanishFork_UT,US,Substantial,Beech,C_99,2,Turbo_Prop,Ameriflight_Airlines,VMC,Climb,"40.018334, -111.482778",Beech_C_99
4467,Accident,2016-11-18,Elko_NV,US,Destroyed,Piper,PA_31,2,Turbo_Prop,American_Airlines,VMC,Takeoff,"40.833889, -115.783056",Piper_PA_31
4476,Accident,2012-11-20,Roanoke_VA,US,Substantial,Beech,C90A,2,Turbo_Prop,Dominion_aviation_services_inc,VMC,Approach,"37.325556, -79.975556",Beech_C90A
4507,Accident,2016-11-18,Elko_NV,US,Destroyed,Piper,PA_31,2,Turbo_Prop,American_Airlines,VMC,Takeoff,"40.833889, -115.783056",Piper_PA_31
4681,Incident,2015-08-17,Page_AZ,US,Minor,Quest,KODIAC_100,1,Turbo_Prop,Arrow_west_aviation_(dba:_redtail_aviation),VMC,Takeoff,"36.926111, -111.448333",Quest_KODIAC_100
4699,Incident,2012-11-09,Minneapolis_MN,US,Minor,Fairchild,SA227_AC,2,Turbo_Prop,Bemidji_Aviation,VMC,Landing,"44.875834, -93.219723",Fairchild_SA227_AC
4750,Incident,2016-07-07,RapidCity_SD,US,Missing,Airbus,A320,2,Turbo_Fan,Delta_Airlines,VMC,Landing,"44.1475, -103.106667",Airbus_A320
4765,Accident,2014-11-05,LasVegas_NV,US,Substantial,Extra_flugzeugproduktions_und,EA_300,1,Reciprocating,Sky_combat_ace,VMC,Other,"35.972778, -115.134444",Extra_flugzeugproduktions_und_EA_300
4989,Accident,2015-02-24,Baltimore_MD,US,Substantial,Cessna,208,1,Turbo_Prop,Mountain_air_cargo_inc,VMC,Taxi,"39.184722, -76.667223",Cessna_208
4995,Incident,2011-08-29,Moline_IL,US,Minor,Embraer,EMB_145,2,Turbo_Fan,Expressjet_airlines_inc,VMC,Landing,"41.448611, -90.5075",Embraer_EMB_145
5072,Accident,2015-12-15,Nashville_TN,US,Substantial,Boeing,737,2,Turbo_Fan,Southwest_Airlines,VMC,Other,"36.1, -86.6",Boeing_737
5280,Accident,2015-12-15,Nashville_TN,US,Substantial,Boeing,737,2,Turbo_Fan,Southwest_Airlines,VMC,Other,"36.1, -86.6",Boeing_737
5418,Accident,2014-06-09,Chitina_AK,US,Substantial,Cessna,U206C,1,Reciprocating,Copper_valley_air_service,VMC,Other,"61.515556, -144.440277",Cessna_U206C
5569,Accident,2014-08-27,LasCruces_NM,US,Destroyed,Cessna,421C,2,Reciprocating,Amigos_aviation_inc,VMC,Other,"32.255833, -106.982223",Cessna_421C
5575,Accident,2015-11-02,Chicago_IL,US,Substantial,Cessna,208,1,Turbo_Prop,Multi_aero_inc_(dba:_air_choice_one),VMC,Taxi,"41.977223, 87.908056",Cessna_208
5590,Accident,2016-12-15,Willow_AK,US,Substantial,Maule,MX_7,1,Reciprocating,Barry_l._stanley/kirsten_e._stanley_(dba:_denali_flying_service),VMC,Takeoff,"61.860278, -151.405556",Maule_MX_7
5634,Accident,2017-06-03,SanJuan_PR,US,Substantial,Piper,PA23,2,Reciprocating,Air_america_inc,VMC,Takeoff,"18.460278, -65.972778",Piper_PA23
5712,Accident,2016-09-16,Fairbanks_AK,US,Substantial,Helio,H_295,1,Reciprocating,Wright_air_service,VMC,Takeoff,Missing,Helio_H_295
5729,Accident,2017-05-24,Augusta_GA,US,Substantial,Beech,58,2,Reciprocating,Gerlach_and_associates_llc_(dba:_midwest_airlink),IMC,Landing,"33.381111, -81.970556",Beech_58
5730,Accident,2016-12-05,Camilla_GA,US,Destroyed,Fairchild,SA227,2,Turbo_Prop,Key_lime_air_(dba:_key_lime_air),IMC,Maneuvering,"31.219723, -84.154722",Fairchild_SA227
5756,Accident,2016-01-02,AnaktuvukPass_AK,US,Substantial,Cessna,208,1,Turbo_Prop,Wright_air_service_inc,VMC,Cruise,"68.078334, -151.896389",Cessna_208
5786,Accident,2015-01-21,Goodland_KS,US,Substantial,Piper,PA_31,2,Reciprocating,Key_lime_air,VMC,Other,"39.446944, 101.803056",Piper_PA_31
5788,Accident,2016-06-16,StateCollege_PA,US,Destroyed,Piper,PA_31,2,Reciprocating,Aeronational_inc,IMC,Approach,"40.842777, -77.8425",Piper_PA_31
5834,Accident,2016-03-05,Albuquerque_NM,US,Substantial,Boeing,767,2,Turbo_Fan,United_Airlines,VMC,Landing,"35.02, 106.5",Boeing_767
5874,Accident,2016-07-29,McKinleyville_CA,US,Substantial,Piper,PA_31,2,Turbo_Prop,Cal_ore_life_flight,IMC,Climb,"41.027223, -124.010278",Piper_PA_31
5885,Accident,2000-03-05,BURBANK_CA,US,Destroyed,Boeing,737,2,Turbo_Fan,Southwest_Airlines,VMC,Landing,Missing,Boeing_737
5886,Accident,2012-12-28,CHICAGO_IL,US,Missing,Embraer,EMB_145,2,Turbo_Fan,American_Airlines,VMC,Takeoff,"44.667778, -85.55",Embraer_EMB_145
5888,Accident,2012-11-20,Roanoke_VA,US,Substantial,Beech,C90A,2,Turbo_Prop,Dominion_aviation_services_inc,VMC,Approach,"37.325556, -79.975556",Beech_C90A
5984,Accident,2011-02-19,NorthFayston_VT,US,Missing,Airbus,A320,2,Turbo_Fan,Jetblue_airways_corp,VMC,Approach,"44.225834, -72.857778",Airbus_A320
5987,Accident,2012-12-28,CHICAGO_IL,US,Missing,Embraer,EMB_145,2,Turbo_Fan,American_Airlines,VMC,Takeoff,"44.667778, -85.55",Embraer_EMB_145
6073,Accident,2016-03-05,Albuquerque_NM,US,Substantial,Boeing,767,2,Turbo_Fan,United_Airlines,VMC,Landing,"35.02, 106.5",Boeing_767
6075,Accident,2012-12-05,NewYork_NY,US,Substantial,Bombardier,CL_600_2B19,2,Turbo_Fan,Air_wisconsin_(dba:_us_airways_express),VMC,Approach,"40.777223, -73.8725",Bombardier_CL_600_2B19
6173,Accident,2017-09-05,Chicken_AK,US,Substantial,Cessna,U206,1,Reciprocating,40_mile_air_ltd.,VMC,Takeoff,"64.318056, -141.419723",Cessna_U206
6232,Accident,2010-09-03,Tuluksak_AK,US,Substantial,Cessna,207,1,Reciprocating,Grant_aviation_inc_(dba:_grant_aviation),VMC,Takeoff,"61.096666, -160.968334",Cessna_207
6291,Accident,2012-12-26,Memphis_TN,US,Substantial,Mcdonnell,MD_11F,3,Turbo_Fan,Fedex_express,IMC,Standing,"35.0425, -89.976667",Mcdonnell_MD_11F
6329,Accident,2014-08-14,SaltLakeCity_UT,US,Substantial,Boeing,737,2,Turbo_Fan,Southwest_Airlines,VMC,Standing,"40.786389, -111.973056",Boeing_737
6332,Accident,2015-08-02,Chicago_IL,US,Substantial,Cessna,208,1,Turbo_Prop,"Multi_aero,_inc._(dba:_air_choice_one,_inc.)",IMC,Taxi,"41.966945, -87.894166",Cessna_208
6355,Accident,2016-12-12,Moab_UT,US,Destroyed,Quest,KODIAC_100,1,Turbo_Prop,Aerowest_aviation_(dba:_redtail_air),VMC,Takeoff,"38.753056, -109.752778",Quest_KODIAC_100
6374,Accident,2017-09-12,Greeley_CO,US,Substantial,Embraer,EMB_145,2,Turbo_Prop,Freight_runners_express_inc,VMC,Standing,"40.4375, -104.633334",Embraer_EMB_145
6397,Accident,2015-06-25,Ketchikan_AK,US,Substantial,Dehavilland,DHC_3,1,Turbo_Prop,"Promech_air,_inc.",VMC,Other,"55.456389, -131.146111",Dehavilland_DHC_3
6455,Accident,2012-12-26,Memphis_TN,US,Substantial,Mcdonnell,MD_11F,3,Turbo_Fan,Fedex_express,IMC,Standing,"35.0425, -89.976667",Mcdonnell_MD_11F
6484,Accident,2014-08-09,SanAntonio_TX,US,Substantial,Bombardier,CL600_2D24___900,2,Turbo_Fan,Mesa_Airlines,VMC,Taxi,"29.526945, -98.471945",Bombardier_CL600_2D24___900
6495,Accident,2017-06-06,Homer_AK,US,Substantial,Cessna,207,1,Reciprocating,"Northair,_inc.",VMC,Landing,"59.866111, -153.118611",Cessna_207
6549,Accident,2017-09-06,Kotzebue_AK,US,Substantial,Piper,PA_12,1,Reciprocating,Thomas_cameron,VMC,Landing,"67.353056, -160.493889",Piper_PA_12
6560,Accident,2012-11-29,BryansCorner_OK,US,Substantial,Cessna,208,1,Turbo_Prop,Martinaire_Aviation,VMC,Takeoff,"36.616667, -100.970278",Cessna_208
6565,Accident,2017-09-12,Greeley_CO,US,Substantial,Embraer,EMB_145,2,Turbo_Prop,Freight_runners_express_inc,VMC,Standing,"40.4375, -104.633334",Embraer_EMB_145
6582,Accident,2017-06-26,Vinalhaven_ME,US,Substantial,Cessna,207,1,Reciprocating,Waters_aero_marine_inc_(dba:_penobscot_island_air),VMC,Other,"44.070556, -68.821667",Cessna_207
6608,Accident,2015-02-24,St.Louis_MO,US,Missing,Mcdonnell,MD_11F,3,Turbo_Fan,Fedex_express,VMC,Standing,Missing,Mcdonnell_MD_11F
6629,Accident,2016-09-16,Fairbanks_AK,US,Substantial,Helio,H_295,1,Reciprocating,Wright_air_service,VMC,Takeoff,Missing,Helio_H_295
6726,Accident,2012-11-29,BryansCorner_OK,US,Substantial,Cessna,208,1,Turbo_Prop,Martinaire_Aviation,VMC,Takeoff,"36.616667, -100.970278",Cessna_208
6756,Accident,2015-01-03,KeyWest_FL,US,Substantial,Cessna,P206,1,Reciprocating,Exec_air_inc._(dba:_execair),VMC,Approach,"24.556111, 81.771945",Cessna_P206
6825,Accident,2016-09-25,DeltaJunction_AK,US,Substantial,Helio,H_295,1,Reciprocating,Wright_air_service_(dba:_wright_air_service),VMC,Takeoff,"63.788889, -146.798611",Helio_H_295
7023,Accident,2013-01-11,Alexandria_MN,US,Substantial,Beech,65_B80,2,Reciprocating,Bemidji_Aviation,IMC,Landing,"45.8625, -95.4",Beech_65_B80
7076,Accident,2017-09-12,Greeley_CO,US,Substantial,Embraer,EMB_145,2,Turbo_Prop,Freight_runners_express_inc,VMC,Standing,"40.4375, -104.633334",Embraer_EMB_145
7078,Accident,2017-09-05,Chicken_AK,US,Substantial,Cessna,U206,1,Reciprocating,40_mile_air_ltd.,VMC,Takeoff,"64.318056, -141.419723",Cessna_U206
7131,Accident,2017-03-11,Kalaupapa_HI,US,Substantial,Cessna,208,2,Turbo_Prop,Schuman_aviation_co._ltd_(dba:_makana_kai_air),VMC,Go_around,"21.211111, -156.973611",Cessna_208
7152,Accident,2017-05-24,ElfinCove_AK,US,Substantial,Cessna,208,1,Turbo_Prop,Kalinin_partners_llc._(dba:_alaska_seaplanes),VMC,Landing,"58.195277, -136.348333",Cessna_208
7201,Accident,2016-01-02,AnaktuvukPass_AK,US,Substantial,Cessna,208,1,Turbo_Prop,Wright_air_service_inc,VMC,Cruise,"68.078334, -151.896389",Cessna_208
7258,Accident,2011-03-22,Albuquerque_NM,US,Substantial,Airbus,F4_622R,2,Turbo_Fan,United_Airlines,VMC,Landing,"35.033334, -106.6",Airbus_F4_622R
7301,Accident,2015-06-27,Anchorage_AK,US,Substantial,Cessna,U206G,1,Reciprocating,Lake_and_pen_air_(dba:_lake_and_pen_air),VMC,Landing,"61.215278, -149.838889",Cessna_U206G
7338,Accident,2016-09-16,Fairbanks_AK,US,Substantial,Helio,H_295,1,Reciprocating,Wright_air_service,VMC,Takeoff,"65.47, -147.338333",Helio_H_295
7342,Accident,2016-12-12,Moab_UT,US,Destroyed,Quest,KODIAC_100,1,Turbo_Prop,Aerowest_aviation_(dba:_redtail_air),VMC,Takeoff,"38.753056, -109.752778",Quest_KODIAC_100
7366,Accident,2017-07-23,Edgartown_MA,US,Substantial,Cirrus_design_corp,SR22,1,Reciprocating,Cornerstone_aviation_(dba:_skyline_flight),VMC,Takeoff,"41.361667, -70.523334",Cirrus_design_corp_SR22
7414,Accident,2015-11-02,Chicago_IL,US,Substantial,Cessna,208,1,Turbo_Prop,Multi_aero_inc,VMC,Taxi,Missing,Cessna_208
7417,Accident,2014-11-05,LasVegas_NV,US,Substantial,Extra_flugzeugproduktions_und,EA_300,1,Reciprocating,Sky_combat_ace,VMC,Other,"35.972778, -115.134444",Extra_flugzeugproduktions_und_EA_300
7437,Accident,2016-11-23,Moorhead_MN,US,Substantial,Beech,200,2,Turbo_Prop,"Flight_development,_llc",IMC,Go_around,"46.839166, -96.664167",Beech_200
7503,Accident,2015-01-21,Goodland_KS,US,Substantial,Piper,PA_31,2,Reciprocating,Key_lime_air,VMC,Other,"39.446944, 101.803056",Piper_PA_31
7511,Accident,2013-01-11,Alexandria_MN,US,Substantial,Beech,65_B80,2,Reciprocating,Bemidji_Aviation,IMC,Landing,"45.8625, -95.4",Beech_65_B80
7550,Accident,2015-06-25,Ketchikan_AK,US,Substantial,Dehavilland,DHC_3,1,Turbo_Prop,"Promech_air,_inc.",VMC,Other,"55.456389, -131.146111",Dehavilland_DHC_3
7655,Accident,2016-12-12,Moab_UT,US,Destroyed,Quest,KODIAK_100,1,Turbo_Prop,Aerowest_aviation_(dba:_redtail_air),VMC,Takeoff,"38.753056, -109.752778",Quest_KODIAK_100
7752,Accident,2016-06-16,StateCollege_PA,US,Destroyed,Piper,PA_31,2,Reciprocating,Aeronational_inc,IMC,Approach,"40.842777, -77.8425",Piper_PA_31
7773,Accident,2012-12-05,NewYork_NY,US,Substantial,Bombardier,CL_600_2B19,2,Turbo_Fan,Air_wisconsin_(dba:_us_airways_express),VMC,Approach,"40.777223, -73.8725",Bombardier_CL_600_2B19
7781,Accident,2015-08-02,Chicago_IL,US,Substantial,Cessna,208,1,Turbo_Prop,Multi_aero_inc_(dba:_air_choice_one_inc),IMC,Taxi,"41.966945, -87.894166",Cessna_208
7795,Accident,2015-08-02,Chicago_IL,US,Substantial,Cessna,208,1,Turbo_Prop,Multi_aero_inc_(dba:_air_choice_one_inc),IMC,Taxi,"41.966945, -87.894166",Cessna_208
7855,Accident,2013-03-07,Atlanta_GA,US,Substantial,Boeing,757,2,Turbo_Fan,Delta_Airlines,VMC,Landing,"33.636666, -84.427778",Boeing_757
7871,Accident,2015-06-10,McCook_NE,US,Missing,Bombardier,CL600_2D24,2,Turbo_Fan,Mesa_Airlines,UNK,Other,"39.497222, -102.193889",Bombardier_CL600_2D24
7890,Accident,2012-04-15,BuenaVista_CO,US,Minor,Airbus,A319,2,Turbo_Jet,US_Airways,VMC,Other,Missing,Airbus_A319
7918,Accident,2017-03-20,Boise_ID,US,Substantial,Swearingen,SA226,2,Turbo_Prop,Dean_anderson,VMC,Takeoff,"43.614444, -116.222778",Swearingen_SA226
7948,Accident,2011-03-22,Albuquerque_NM,US,Substantial,Airbus,F4_622R,2,Turbo_Fan,United_Airlines,VMC,Landing,"35.033334, -106.6",Airbus_F4_622R
7979,Accident,2012-04-15,BuenaVista_CO,US,Minor,Airbus,A319,2,Turbo_Jet,US_Airways,VMC,Other,Missing,Airbus_A319
8018,Accident,2011-03-10,Seattle_WA,US,Substantial,Fairchild,SA227_AC,2,Turbo_Prop,Ameriflight_Airlines,VMC,Landing,"47.53, -122.301944",Fairchild_SA227_AC
8035,Accident,2016-08-27,Pascagoula_FL,US,Substantial,Boeing,737,2,Turbo_Fan,Southwest_Airlines,VMC,Other,Missing,Boeing_737
8041,Incident,2011-08-29,Moline_IL,US,Minor,Embraer,EMB_145,2,Turbo_Fan,Expressjet_airlines_inc,VMC,Landing,"41.448611, -90.5075",Embraer_EMB_145
8073,Accident,2011-09-23,Kodiak_AK,US,Substantial,Dehavilland,DHC_3T,1,Turbo_Prop,Paklook_air_inc_(dba:_paklook_air),VMC,Other,"57.685277, -152.509167",Dehavilland_DHC_3T
8075,Accident,2015-01-03,KeyWest_FL,US,Substantial,Cessna,P206,1,Reciprocating,Exec_air_inc._(dba:_execair),VMC,Approach,"24.556111, 81.771945",Cessna_P206
8127,Accident,2011-03-10,Seattle_WA,US,Substantial,Fairchild,SA227_AC,2,Turbo_Prop,Ameriflight_Airlines,VMC,Landing,"47.53, -122.301944",Fairchild_SA227_AC
8227,Accident,2017-05-28,Petersville_AK,US,Substantial,Dehavilland,DHC_2,1,Reciprocating,Talkeetna_air_taxi_inc,VMC,Other,"62.936111, -150.684444",Dehavilland_DHC_2
8315,Accident,2011-02-19,NorthFayston_VT,US,Missing,Airbus,A320,2,Turbo_Fan,Jetblue_airways_corp,VMC,Approach,"44.225834, -72.857778",Airbus_A320
8396,Accident,2017-06-03,SanJuan_PR,US,Substantial,Piper,PA23,2,Reciprocating,Air_america_inc,VMC,Takeoff,"18.460278, -65.972778",Piper_PA23
8453,Accident,2009-08-27,Inverness_FL,US,Missing,Boeing,717,2,Turbo_Jet,Airtran_airways_(dba:_airtran_airways),IMC,Climb,"29.0, -82.9",Boeing_717
8461,Accident,2015-12-23,Charlotte_NC,US,Missing,Boeing,737,2,Turbo_Fan,Southwest_Airlines,IMC,Approach,"35.285833, -80.821389",Boeing_737
8477,Incident,2016-12-04,SanAntonio_TX,US,Minor,Embraer,ERJ170_200LR,2,Turbo_Fan,Skywest_Airlines,VMC,Landing,"29.531389, -98.468334",Embraer_ERJ170_200LR
8587,Accident,2014-03-17,Seattle_PO,US,Missing,Airbus,A330,2,Turbo_Fan,Delta_Airlines,VMC,Other,"0.0, 0.0",Airbus_A330
8589,Accident,2017-05-03,Colton_NY,US,Destroyed,Piper,PA_31,2,Reciprocating,Strait_air_(2000)_ltd,VMC,Other,"44.531111, -74.891111",Piper_PA_31
8590,Accident,2017-04-28,Amarillo_TX,US,Destroyed,Pilatus_aircraft_ltd,PC_12,1,Turbo_Prop,Rico_aviation_llc,IMC,Takeoff,"35.196389, -101.704722",Pilatus_aircraft_ltd_PC_12
8605,Accident,2016-07-29,McKinleyville_CA,US,Destroyed,Piper,PA_31,2,Turbo_Prop,Cal_ore_life_flight,IMC,Other,"41.027223, -124.010278",Piper_PA_31
8613,Accident,2014-08-14,SaltLakeCity_UT,US,Substantial,Boeing,737,2,Turbo_Fan,Southwest_Airlines,VMC,Other,"40.786389, -111.973056",Boeing_737
8656,Accident,2018-03-29,KingSalmon_AK,US,Substantial,Beech,99,2,Turbo_Prop,Lake_clark_air_inc,IMC,Landing,"58.679723, -156.656111",Beech_99
8662,Accident,2016-10-28,FortLauderdale_FL,US,Substantial,Mcdonnell,MD_10_10F,3,Turbo_Fan,Fedex_express,VMC,Landing,Missing,Mcdonnell_MD_10_10F
8675,Accident,2018-03-16,Hastings_NE,US,Substantial,Beech,C99,2,Turbo_Prop,Ameriflight_Airlines,VMC,Landing,"40.604167, -98.426389",Beech_C99
8678,Accident,2015-06-11,Sacramento_CA,US,Substantial,Eclipse_aviation_corp,EA500,2,Turbo_Jet,Nemly_aviation_(dba:_nemly_aviation),VMC,Taxi,"35.5125, -121.493333",Eclipse_aviation_corp_EA500
8682,Accident,2017-07-03,ElPaso_TX,US,Substantial,Beech,A36,1,Reciprocating,"Gta_air,_inc.",VMC,Climb,"31.812222, -106.382778",Beech_A36
8697,Incident,2016-12-04,SanAntonio_TX,US,Minor,Embraer,ERJ170_200LR,2,Turbo_Fan,Skywest_Airlines,VMC,Landing,"29.531389, -98.468334",Embraer_ERJ170_200LR
8719,Accident,2014-12-30,Roswell_NM,US,Substantial,Cessna,208,2,Turbo_Prop,Baron_Aviation,IMC,Other,"33.287222, -104.539166",Cessna_208
8734,Accident,2017-12-05,Cheboygan_MI,US,Substantial,Piper,PA-32,1,Reciprocating,Great_Lakes,VMC,Landing,"45.654167, -84.513889",Piper_PA-32
