,Investigation,Date,Location,Country,Damage,Make,Model,EnginesNo,EngineType,Carrier,Weather,Phase,GeoPoint,Make_Model
117647,Accident,2013-10-07,Iliamna_AK,US,Substantial,Piper,PA_18_150,1,Reciprocating,Tom's_alaskan_air,VMC,Landing,"59.376945, -155.155833",Piper_PA_18_150
117654,Accident,2013-09-14,Akhiok_AK,US,Substantial,Dehavilland,BEAVER_DHC_2,1,Reciprocating,Andrew_airways_inc,VMC,Takeoff,"57.191666, -154.503889",Dehavilland_BEAVER_DHC_2
117667,Accident,2013-07-07,Soldotna_AK,US,Destroyed,Dehavilland,DHC_3,1,Turbo_Prop,Rediske_family_limited_partnership_(dba:_rediske_air),VMC,Takeoff,"60.475278, -151.043611",Dehavilland_DHC_3
118018,Accident,1982-08-27,BOISE_ID,US,Destroyed,Cessna,T207,1,Reciprocating,Salmon_air_taxi,VMC,Takeoff,Missing,Cessna_T207
118038,Incident,1982-07-20,FENTON_MO,US,Minor,Beech,E18S,2,Reciprocating,"Executive_aviation,_inc.",VMC,Landing,Missing,Beech_E18S
118081,Incident,1982-11-16,HUNTSVILLE_AL,US,Minor,Beech,G18S,2,Reciprocating,Bo_s_aire,VMC,Descent,Missing,Beech_G18S
118134,Accident,2012-02-01,Anchorage_AK,US,Substantial,Beech,99,2,Turbo_Prop,Lake_clark_air_inc,VMC,Landing,"61.2, -149.5",Beech_99
118148,Accident,2011-11-28,Riverwoods_IL,US,Substantial,Piper,PA_31,2,Reciprocating,Trans_north_aviation_ltd,VMC,Approach,"42.164444, -87.898055",Piper_PA_31
118149,Accident,2011-11-10,Minneapolis_MN,US,Substantial,Airbus,A320,2,Turbo_Fan,Delta_Airlines,UNK,Takeoff,"44.867778, -93.226667",Airbus_A320
118324,Accident,2015-11-07,Beaumont_TX,US,Missing,Boeing,787,2,Turbo_Fan,United_Airlines,IMC,Descent,"29.760278, -95.369723",Boeing_787
118334,Accident,2015-10-01,Nassau_Bahamas,Bahamas,Missing,Airbus,A319,2,Turbo_Fan,American_Airlines,IMC,Other,"25.760278, -76.157222",Airbus_A319
118336,Accident,2015-09-13,DeltaJunction_AK,US,Substantial,Helio,H_295,1,Reciprocating,Wright_air_service,VMC,Takeoff,"63.783334, -146.066667",Helio_H_295
118346,Accident,2015-08-22,HOMER_AK,US,Substantial,Cessna,180,1,Reciprocating,Smith_timothy_e_(dba:_smith_air_charters),VMC,Landing,"60.042777, -152.592222",Cessna_180
118353,Accident,2015-07-26,Dixie_ID,US,Substantial,Cessna,180J,1,Reciprocating,"Patrick,_scott_(dba:_sp_aircraft)",VMC,Other,"45.396666, -115.483334",Cessna_180J
118356,Accident,2015-06-25,Ketchikan_AK,US,Substantial,Dehavilland,DHC_3,1,Turbo_Prop,"Promech_air,_inc.",VMC,Other,"55.456389, -131.146111",Dehavilland_DHC_3
118363,Accident,2017-05-24,Augusta_GA,US,Substantial,Beech,58,2,Reciprocating,Gerlach_and_associates_llc_(dba:_midwest_airlink),IMC,Landing,"33.381111, -81.970556",Beech_58
118632,Incident,2014-09-18,LongBeach_CA,US,Minor,Airbus,A320,2,Turbo_Fan,Jetblue_airways,VMC,Takeoff,"33.818334, -118.144722",Airbus_A320
118643,Incident,2014-07-11,LosAngeles_CA,US,Minor,Boeing,767,2,Turbo_Fan,Delta_Airlines,UNK,Takeoff,"33.941666, -118.408333",Boeing_767
118734,Accident,2004-07-25,Miami_FL,US,Missing,Boeing,777,2,Turbo_Fan,American_Airlines,VMC,Cruise,Missing,Boeing_777
118855,Accident,1982-09-09,RIVERSIDE_CA,US,Substantial,Cessna,T207,1,Reciprocating,Airway_express_inc.,IMC,Go_around,Missing,Cessna_T207
118880,Accident,1982-06-30,LUBBOCK_TX,US,Substantial,Beech,E18S,2,Reciprocating,"Coker_airfreight,_inc.",VMC,Landing,Missing,Beech_E18S
118967,Accident,2008-05-30,Monticello_UT,US,Substantial,Cessna,172,1,Reciprocating,Redtail_aviation_inc,VMC,Maneuvering,"38.104444, -109.863056",Cessna_172
119300,Accident,2009-07-13,Yakutat_AK,US,Substantial,Beech,G18S,2,Reciprocating,Munich_hans_w_(dba:_yakutat_coastal_airlines),VMC,Landing,"59.503333, -139.660278",Beech_G18S
119327,Incident,2009-04-03,Northport_FL,US,Minor,Cirrus_design_corp,SR22,1,Reciprocating,Satsair_llc,VMC,Other,"27.097222, -82.233611",Cirrus_design_corp_SR22
119345,Incident,2008-02-24,LasVegas_NV,US,Missing,Boeing,737,2,Turbo_Fan,Southwest_Airlines,VMC,Descent,"36.08, -115.152222",Boeing_737
119365,Accident,2008-05-27,Dallas_TX,US,Missing,Embraer,140,2,Turbo_Fan,American_Airlines,VMC,Other,"32.75, -97.333333",Embraer_140
119500,Accident,2009-10-02,SanSimeon_CA,US,Substantial,Cessna,421B,2,Reciprocating,Western_air_charter,VMC,Other,"33.663611, -121.198611",Cessna_421B
119533,Accident,2010-12-03,PagoPago_AmericanSamoa,American_Samoa,Missing,Boeing,767,2,Turbo_Fan,International_lease_finance_corp_(dba:_hawaiian_airlines),VMC,Takeoff,"-14.331389, -170.711389",Boeing_767
119547,Accident,2010-09-03,Tuluksak_AK,US,Substantial,Cessna,207,1,Reciprocating,Grant_aviation_inc_(dba:_grant_aviation),VMC,Other,"61.096666, -160.968334",Cessna_207
119567,Accident,2009-02-12,ClarenceCenter_NY,US,Destroyed,Bombardier,DHC_8_402,2,Turbo_Prop,Colgan_air_inc_(dba:_continental_connection),VMC,Approach,"43.011111, -78.634722",Bombardier_DHC_8_402
119571,Accident,2008-12-28,Seattle_WA,US,Substantial,Boeing,757,2,Turbo_Fan,Northwest_Airlines,VMC,Other,"47.449722, -122.311667",Boeing_757
119582,Incident,2015-03-14,Chicago_IL,US,Minor,Bombardier,CL_600_2C10,2,Turbo_Fan,Gojet_airlines_llc,VMC,Approach,Missing,Bombardier_CL_600_2C10
120020,Accident,2009-04-18,McAllen_TX,US,Missing,Boeing,737,2,Turbo_Jet,Continental_Airlines,VMC,Descent,"26.172223, -98.236389",Boeing_737
120029,Accident,2009-02-24,KansasCity_MO,US,Substantial,Gates_learjet_corp.,35A,2,Turbo_Fan,Bankair_inc,VMC,Go_around,"39.123056, -94.5925",Gates_learjet_corp._35A
120042,Accident,2010-01-02,Somerset_KY,US,Substantial,Fairchild,SA227,2,Turbo_Prop,"Locair,_inc",VMC,Landing,"37.053611, -84.615556",Fairchild_SA227
120055,Incident,2009-09-08,LosAngeles_CA,US,Minor,Boeing,737,2,Turbo_Fan,Southwest_Airlines,VMC,Landing,"33.9425, -118.407222",Boeing_737
120068,Accident,2009-07-22,Iliamna_AK,US,Substantial,Dehavilland,BEAVER_DHC_2,1,Reciprocating,Iliamna_air_taxi_inc,VMC,Takeoff,"59.934722, -156.421111",Dehavilland_BEAVER_DHC_2
120076,Accident,2011-02-24,NewYork_NY,US,Missing,Embraer,ERJ_190_100_IGW,2,Turbo_Fan,US_Airways,VMC,Landing,"40.777223, -73.8725",Embraer_ERJ_190_100_IGW
120081,Accident,2011-01-03,LosAngeles_CA,US,Substantial,Boeing,737,2,Turbo_Fan,American_Airlines,VMC,Takeoff,"33.9425, -118.408056",Boeing_737
120084,Accident,2010-12-13,St.Thomas_VI,US,Substantial,Cessna,172,1,Reciprocating,Isla_grande_flying_school,VMC,Taxi,"18.337222, -64.973334",Cessna_172
120088,Accident,2010-11-30,Milwaukee_WI,US,Missing,Embraer,EMB_145,2,Turbo_Fan,Chautauqua_airlines_inc,IMC,Cruise,"41.916945, -88.3125",Embraer_EMB_145
120090,Accident,2010-11-15,Minneapolis_MN,US,Substantial,Embraer,ERJ_170_200_LR,2,Turbo_Fan,"Compass_airlines,_llc_(dba:_delta_connectiton)",VMC,Climb,"44.9275, -93.303611",Embraer_ERJ_170_200_LR
120124,Accident,1993-12-12,PORTLIONS_AK,US,Substantial,Piper,PA-32,1,Reciprocating,Peninsula_Airways,VMC,Landing,Missing,Piper_PA-32
120405,Accident,2011-05-16,Baltimore_MD,US,Missing,De_havilland,DHC8,2,Turbo_Prop,Colgan_air_inc,UNK,Descent,"39.285555, -76.605833",De_havilland_DHC8
120432,Accident,2012-01-16,Huntington_WV,US,Substantial,Boeing,DHC_8_102,2,Turbo_Prop,Piedmont_airlines_incorporated_(dba:_piedmont_airlines_incorportated),VMC,Taxi,"38.366945, -82.558611",Boeing_DHC_8_102
120437,Accident,2011-12-21,Kwigillingok_AK,US,Substantial,Cessna,207,1,Reciprocating,Flight_alaska_inc_(dba:_yute_air_alaska),IMC,Approach,"59.876389, -163.168611",Cessna_207
120448,Accident,2011-09-15,Beluga_AK,US,Substantial,Cessna,U206G,1,Reciprocating,Alaska_skyways_inc._(dba:_regal_air),VMC,Takeoff,"61.576667, -151.543333",Cessna_U206G
120815,Accident,2012-06-06,Platinum_AK,US,Substantial,Cessna,207,1,Reciprocating,Grant_aviation,VMC,Taxi,"59.015556, -161.825278",Cessna_207
120864,Accident,2014-03-17,Seattle_PO,US,Missing,Airbus,A330,2,Turbo_Fan,Delta_Airlines,VMC,Other,"0.0, 0.0",Airbus_A330
120884,Accident,2013-03-08,Aleknagik_AK,US,Destroyed,Beech,1900C,2,Turbo_Prop,Alaska_central_express_inc_(dba:_alaska_central_express),IMC,Maneuvering,"59.317778, -158.351111",Beech_1900C
120886,Accident,2013-02-19,Cincinnati_OH,US,Missing,Embraer,EMB_145,2,Turbo_Fan,Chautauqua_airlines_inc,VMC,Standing,"39.048611, -84.667778",Embraer_EMB_145
120918,Accident,2010-07-04,Alpine_TX,US,Substantial,Cessna,421B,2,Reciprocating,Ohara_flying_service_ii_lp_(dba:_air_ambulance_stat),VMC,Takeoff,"30.400833, -103.665833",Cessna_421B
120981,Accident,2011-03-22,Aberdeen_SD,US,Substantial,Cessna,414A,2,Reciprocating,Aberdeen_flying_service,IMC,Takeoff,"45.448889, -98.421667",Cessna_414A
120999,Accident,2012-08-05,HiltonHead_SC,US,Missing,Embraer,ERJ_170_200_LR,2,Turbo_Fan,Republic_Airlines,IMC,Descent,"32.2, -80.6",Embraer_ERJ_170_200_LR
121442,Incident,2015-08-17,Page_AZ,US,Minor,Quest,KODIAC_100,1,Turbo_Prop,Arrow_west_aviation_(dba:_redtail_aviation),VMC,Takeoff,"36.926111, -111.448333",Quest_KODIAC_100
121445,Accident,2015-08-15,Charlotte_NC,US,Substantial,Airbus,A321,2,Turbo_Fan,US_Airways,VMC,Approach,"35.213611, -80.949166",Airbus_A321
121605,Incident,1982-07-28,FLUSHING_NY,US,Minor,Boeing,727,3,Turbo_Fan,Trans_world_airlines,IMC,Approach,Missing,Boeing_727
121626,Accident,1982-01-23,BOSTON_MA,US,Destroyed,Mcdonnell,DC-10,3,Turbo_Fan,"World_airways,_inc.",IMC,Landing,Missing,Mcdonnell_DC-10
121644,Accident,2014-06-07,Page_AZ,US,Substantial,Cessna,172,1,Reciprocating,American_Airlines,VMC,Go_around,"36.925834, -111.442222",Cessna_172
121649,Accident,2014-06-02,Dayton_TN,US,Substantial,Swearingen,SA_226AT,2,Turbo_Prop,Mcneely_charter_service,VMC,Landing,"35.486111, 84.931111",Swearingen_SA_226AT
121664,Accident,2014-02-26,LanaiCity_HI,US,Substantial,Piper,PA_31,2,Reciprocating,Maui_island_air_(dba:_maui_island_air),VMC,Takeoff,"20.773056, -156.944444",Piper_PA_31
121686,Incident,2012-07-27,ElPaso_TX,US,Minor,Boeing,737,2,Turbo_Fan,Southwest_Airlines,VMC,Other,Missing,Boeing_737
121727,Accident,2006-11-07,Chicago_IL,US,Minor,Airbus,A_320_200,2,Turbo_Fan,United_Airlines,IMC,Taxi,"41.978611, -87.904722",Airbus_A_320_200
121766,Accident,1990-04-09,GADSDEN_AL,US,Substantial,Embraer,EMB_145,2,Turbo_Prop,Atlantic_Southeast,VMC,Cruise,Missing,Embraer_EMB_145
121852,Accident,2017-01-23,Durango_CO,US,Substantial,Beech,C_99,2,Turbo_Prop,Alpine_air_inc,IMC,Takeoff,"37.150278, -107.75",Beech_C_99
121862,Accident,2016-09-24,Dulles_VA,US,Substantial,Bombardier,DHC_8_202,2,Turbo_Prop,"Champlain_enterprises,_llc_(dba:_commutair___united_express)",VMC,Approach,"38.953056, -77.456389",Bombardier_DHC_8_202
122229,Accident,2015-03-19,Springfield_MO,US,Substantial,Embraer,EMB_145,2,Turbo_Prop,American_Airlines,IMC,Approach,"37.16, -93.429723",Embraer_EMB_145
122245,Accident,2015-01-03,KeyWest_FL,US,Substantial,Cessna,P206,1,Reciprocating,Exec_air_inc._(dba:_execair),VMC,Approach,"24.556111, -81.771945",Cessna_P206
122258,Accident,2014-09-22,Deadhorse_AK,US,Substantial,Cessna,TU206,1,Reciprocating,70_north_llc_(dba:_70_north),VMC,Cruise,"70.313889, -148.036389",Cessna_TU206
122285,Accident,2012-06-07,Philadelphia_PA,US,Missing,Boeing,757,2,Turbo_Fan,American_Airlines,VMC,Descent,"39.874445, -75.241944",Boeing_757
